#	PLAYER	TEAM	GP	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	EFF
90	Lonnie Walker IV	LAL	46	25.6	13.0	4.7	10.3	45.1	1.8	4.7	37.6	1.9	2.2	87.0	0.3	1.8	2.1	1.3	0.6	0.3	0.9	10.4
91	Immanuel Quickley	NYK	63	27.7	12.9	4.5	10.2	44.3	1.8	5.0	35.9	2.1	2.5	81.8	0.7	3.4	4.0	3.1	0.8	0.2	1.1	13.8
92	Jalen Williams	OKC	58	29.4	12.8	5.1	10.0	51.1	0.9	2.7	33.3	1.7	2.2	77.2	1.0	3.2	4.2	3.1	1.3	0.5	1.6	14.9
93	Alec Burks	DET	50	22.0	12.8	3.9	9.0	44.0	1.9	4.6	41.6	3.0	3.7	81.4	0.4	2.7	3.0	2.2	0.7	0.1	1.1	12.1
94	Tre Jones	SAS	52	29.3	12.8	4.9	11.3	43.6	0.7	2.5	26.5	2.2	2.5	89.1	0.8	2.8	3.6	6.3	1.3	0.2	1.8	15.7
95	Trey Murphy III	NOP	60	29.1	12.7	4.4	9.2	47.2	2.2	5.6	38.6	1.8	2.0	90.8	0.8	2.8	3.6	1.3	1.0	0.5	0.8	13.3
96	Nic Claxton	BKN	58	29.3	12.5	5.4	7.6	71.0	0.0	0.0	0.0	1.7	3.3	51.6	2.4	6.6	9.0	1.7	0.8	2.5	1.3	21.5
97	Dennis Schroder	LAL	50	30.2	12.4	4.0	9.5	42.3	1.2	3.4	34.5	3.2	3.6	87.4	0.3	2.2	2.5	4.4	0.7	0.1	1.7	12.5
98	Eric Gordon	LAC	52	29.2	12.4	4.2	9.7	43.2	1.7	4.9	35.0	2.3	2.8	82.1	0.3	1.8	2.0	2.9	0.6	0.4	1.6	10.7
99	Jakob Poeltl	TOR	53	26.2	12.4	5.3	8.4	63.2	0.0	0.0	0.0	1.7	2.9	58.3	3.3	5.7	9.0	3.0	0.9	1.2	1.9	20.3
100	Max Strus	MIA	61	29.9	12.3	4.3	10.7	40.0	2.5	7.5	33.5	1.2	1.3	87.7	0.7	2.9	3.6	2.2	0.6	0.2	1.0	11.2
101	Keegan Murray	SAC	59	29.8	12.1	4.3	9.7	44.8	2.5	6.0	41.4	0.9	1.1	80.0	1.1	3.5	4.6	1.2	0.8	0.5	0.8	12.8
102	Rui Hachimura	LAL	45	24.4	12.0	4.8	10.0	48.0	0.9	2.7	32.8	1.6	2.2	72.7	0.9	3.8	4.7	1.0	0.3	0.4	1.0	11.8
